TOTAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,YEAR_BUILT,SALE_PRICE,PRICE_B,BOROUGH_encoded,BUILDING_CLASS_CATEGORY_encoded,BUILDING_CLASS_AT_PRESENT_encoded,TAX_CLASS_AT_TIME_OF_SALE_encoded
0,0,0,1941,60000,0.0,2.0,8.0,17.0,2.0
2,3521,3413,1925,0,0.0,2.0,16.0,44.0,3.0
2,4024,1584,1931,0,0.0,2.0,16.0,40.0,3.0
1,1578,3154,1997,375000,0.0,2.0,19.0,24.0,3.0
1,3852,3852,1931,0,0.0,2.0,22.0,18.0,3.0
1,5490,4984,1912,800000,1.0,2.0,22.0,18.0,3.0
1,1785,1018,1945,325000,0.0,2.0,0.0,5.0,1.0
1,1786,1018,1945,127000,0.0,2.0,0.0,5.0,1.0
1,2759,1998,1945,400000,0.0,2.0,0.0,5.0,1.0
1,3010,1690,1950,0,0.0,2.0,0.0,8.0,1.0
1,1937,1690,1950,0,0.0,2.0,0.0,8.0,1.0
1,1918,1024,1945,215982,0.0,2.0,0.0,2.0,1.0
2,2465,2112,1950,599000,1.0,2.0,0.0,80.0,1.0
2,2465,2112,1950,326000,0.0,2.0,0.0,80.0,1.0
1,2662,2100,1950,0,0.0,2.0,0.0,8.0,1.0
1,1900,1254,1940,350000,0.0,2.0,0.0,5.0,1.0
1,1900,1254,1940,317200,0.0,2.0,0.0,5.0,1.0
1,1900,1254,1940,340000,0.0,2.0,0.0,5.0,1.0
1,2350,1799,1940,95000,0.0,2.0,0.0,5.0,1.0
1,2350,1799,1940,48550,0.0,2.0,0.0,5.0,1.0
1,1900,1738,1940,305000,0.0,2.0,0.0,5.0,1.0
1,2258,2430,1930,325000,0.0,2.0,0.0,5.0,1.0
1,2258,2430,1930,68571,0.0,2.0,0.0,5.0,1.0
1,2258,2430,1930,80000,0.0,2.0,0.0,5.0,1.0
1,2258,2430,1930,12000,0.0,2.0,0.0,5.0,1.0
1,1900,1567,1940,345000,0.0,2.0,0.0,5.0,1.0
1,1900,1681,1940,325000,0.0,2.0,0.0,5.0,1.0
1,1900,1681,1940,335000,0.0,2.0,0.0,5.0,1.0
1,1728,1280,1955,374000,0.0,2.0,0.0,5.0,1.0
1,2300,1782,1955,293944,0.0,2.0,0.0,5.0,1.0
1,2300,1782,1955,500,0.0,2.0,0.0,5.0,1.0
1,2217,2430,1930,10,0.0,2.0,0.0,5.0,1.0
1,2550,1920,1930,315000,0.0,2.0,0.0,5.0,1.0
1,1900,1681,1930,380000,0.0,2.0,0.0,5.0,1.0
1,1900,1795,1935,10,0.0,2.0,0.0,5.0,1.0
1,1775,1585,1935,0,0.0,2.0,0.0,5.0,1.0
1,1900,1406,1945,0,0.0,2.0,0.0,5.0,1.0
1,1900,1406,1945,340000,0.0,2.0,0.0,5.0,1.0
1,2000,2220,1950,0,0.0,2.0,0.0,5.0,1.0
1,2500,1736,1935,430000,0.0,2.0,0.0,5.0,1.0
1,2025,1280,1920,0,0.0,2.0,0.0,5.0,1.0
1,2000,1280,1920,0,0.0,2.0,0.0,5.0,1.0
1,2300,1260,1950,245000,0.0,2.0,0.0,5.0,1.0
1,1800,1782,1950,300000,0.0,2.0,0.0,5.0,1.0
1,1520,1440,1940,251000,0.0,2.0,0.0,5.0,1.0
1,1710,1863,1950,180000,0.0,2.0,0.0,5.0,1.0
1,1713,1505,1965,370000,0.0,2.0,0.0,5.0,1.0
1,2701,1096,1910,420000,0.0,2.0,0.0,1.0,1.0
1,1800,1260,1950,356000,0.0,2.0,0.0,5.0,1.0
1,1800,1690,1955,0,0.0,2.0,0.0,5.0,1.0
1,2850,1056,1940,483000,1.0,2.0,0.0,1.0,1.0
1,2850,1056,1940,182000,0.0,2.0,0.0,1.0,1.0
1,1710,1368,1955,370000,0.0,2.0,0.0,5.0,1.0
1,1710,1714,1955,455000,0.0,2.0,0.0,5.0,1.0
1,1710,1714,1955,247000,0.0,2.0,0.0,5.0,1.0
1,2798,1782,1950,579000,1.0,2.0,0.0,5.0,1.0
1,2798,1782,1950,170000,0.0,2.0,0.0,5.0,1.0
1,1710,1539,1950,271000,0.0,2.0,0.0,5.0,1.0
1,1710,1890,1950,217500,0.0,2.0,0.0,5.0,1.0
1,1710,1890,1950,0,0.0,2.0,0.0,5.0,1.0
1,2090,948,1960,257000,0.0,2.0,0.0,2.0,1.0
1,1470,992,1963,295000,0.0,2.0,0.0,5.0,1.0
1,2267,1116,1955,0,0.0,2.0,0.0,5.0,1.0
1,2502,1224,1935,378000,0.0,2.0,0.0,1.0,1.0
1,2500,1944,1960,499000,1.0,2.0,0.0,5.0,1.0
1,1710,1690,1950,454000,0.0,2.0,0.0,1.0,1.0
1,1710,1690,1950,270000,0.0,2.0,0.0,1.0,1.0
1,1120,1384,1955,270000,0.0,2.0,0.0,5.0,1.0
1,1516,1384,1955,348000,0.0,2.0,0.0,5.0,1.0
1,1120,1384,1955,439000,0.0,2.0,0.0,5.0,1.0
1,1120,1384,1955,238000,0.0,2.0,0.0,5.0,1.0
1,2565,1584,1955,383250,0.0,2.0,0.0,5.0,1.0
1,3642,1268,1950,10,0.0,2.0,0.0,2.0,1.0
1,3650,1268,1950,1,0.0,2.0,0.0,2.0,1.0
1,2651,1260,1960,437000,0.0,2.0,0.0,5.0,1.0
1,2651,1260,1960,320000,0.0,2.0,0.0,5.0,1.0
1,1723,1116,1955,360000,0.0,2.0,0.0,5.0,1.0
1,1692,1674,1955,393000,0.0,2.0,0.0,5.0,1.0
1,1692,1674,1955,405000,0.0,2.0,0.0,5.0,1.0
1,1692,1674,1955,245000,0.0,2.0,0.0,5.0,1.0
1,2401,1178,1960,357000,0.0,2.0,0.0,5.0,1.0
1,3555,1324,1925,330000,0.0,2.0,0.0,1.0,1.0
1,3555,1380,1935,420000,0.0,2.0,0.0,2.0,1.0
1,2002,855,1910,175000,0.0,2.0,0.0,2.0,1.0
1,3788,870,1910,784000,1.0,2.0,0.0,2.0,1.0
1,5004,1294,1925,570000,1.0,2.0,0.0,1.0,1.0
1,5004,1294,1925,119000,0.0,2.0,0.0,1.0,1.0
1,4750,550,1935,0,0.0,2.0,0.0,2.0,1.0
1,2375,2310,1935,0,0.0,2.0,0.0,1.0,1.0
1,1706,1732,1965,1,0.0,2.0,0.0,5.0,1.0
1,2205,1320,1960,417000,0.0,2.0,0.0,1.0,1.0
1,1706,1732,1965,0,0.0,2.0,0.0,5.0,1.0
1,2500,2870,2015,515000,1.0,2.0,0.0,1.0,1.0
1,2500,2870,2015,0,0.0,2.0,0.0,1.0,1.0
1,1710,1744,1955,430000,0.0,2.0,0.0,5.0,1.0
1,1520,1088,1955,375000,0.0,2.0,0.0,5.0,1.0
1,2375,703,1930,0,0.0,2.0,0.0,2.0,1.0
1,2642,1690,1950,420000,0.0,2.0,0.0,5.0,1.0
1,1800,1690,1950,0,0.0,2.0,0.0,5.0,1.0
1,4297,1200,1920,460000,0.0,2.0,0.0,1.0,1.0
1,1800,1534,1955,0,0.0,2.0,0.0,5.0,1.0
1,2685,1770,1930,0,0.0,2.0,0.0,2.0,1.0
1,3900,920,1920,419700,0.0,2.0,0.0,2.0,1.0
1,2033,1280,1950,0,0.0,2.0,0.0,5.0,1.0
1,2900,968,1920,450000,0.0,2.0,0.0,2.0,1.0
1,1563,1714,1961,405000,0.0,2.0,0.0,5.0,1.0
1,2175,640,1932,280000,0.0,2.0,0.0,2.0,1.0
1,2500,1084,1930,360000,0.0,2.0,0.0,1.0,1.0
1,4280,1411,1930,334000,0.0,2.0,0.0,2.0,1.0
1,1806,1349,1925,310000,0.0,2.0,0.0,5.0,1.0
1,2633,1184,1930,120000,0.0,2.0,0.0,5.0,1.0
1,2500,896,1930,390000,0.0,2.0,0.0,1.0,1.0
1,2500,896,1930,0,0.0,2.0,0.0,1.0,1.0
1,2500,896,1930,198000,0.0,2.0,0.0,1.0,1.0
1,2780,1024,1925,325000,0.0,2.0,0.0,1.0,1.0
1,1710,1116,1959,241500,0.0,2.0,0.0,5.0,1.0
1,2375,1479,1931,485000,1.0,2.0,0.0,1.0,1.0
1,4750,1408,1935,0,0.0,2.0,0.0,1.0,1.0
1,2500,1654,1920,245000,0.0,2.0,0.0,1.0,1.0
2,2500,1394,1964,0,0.0,2.0,0.0,80.0,1.0
1,2500,1858,1952,392200,0.0,2.0,0.0,1.0,1.0
1,2500,1424,1920,27000,0.0,2.0,0.0,1.0,1.0
1,2500,1240,1925,390000,0.0,2.0,0.0,1.0,1.0
1,2500,1386,1925,405000,0.0,2.0,0.0,1.0,1.0
1,3333,1512,1939,243360,0.0,2.0,0.0,2.0,1.0
1,3563,2080,1920,416000,0.0,2.0,0.0,1.0,1.0
1,2760,1056,1925,315000,0.0,2.0,0.0,1.0,1.0
1,1953,600,1925,1000,0.0,2.0,0.0,2.0,1.0
1,2375,1341,1930,400000,0.0,2.0,0.0,1.0,1.0
1,1710,1152,1940,449000,0.0,2.0,0.0,5.0,1.0
1,1710,1152,1940,265161,0.0,2.0,0.0,5.0,1.0
1,1710,1152,1940,282500,0.0,2.0,0.0,5.0,1.0
1,2500,1340,1925,375000,0.0,2.0,0.0,1.0,1.0
1,1800,1690,1960,250000,0.0,2.0,0.0,5.0,1.0
1,2375,1224,1930,499900,1.0,2.0,0.0,1.0,1.0
1,2375,1224,1930,190000,0.0,2.0,0.0,1.0,1.0
1,4750,1400,1920,485000,1.0,2.0,0.0,1.0,1.0
1,1980,1260,1950,445000,0.0,2.0,0.0,5.0,1.0
1,1980,1260,1950,175000,0.0,2.0,0.0,5.0,1.0
1,2500,1930,1935,457000,0.0,2.0,0.0,1.0,1.0
1,2500,1140,1935,281000,0.0,2.0,0.0,1.0,1.0
1,1670,1156,1960,338000,0.0,2.0,0.0,5.0,1.0
1,1718,1088,1960,395200,0.0,2.0,0.0,5.0,1.0
1,1558,2240,1960,174300,0.0,2.0,0.0,1.0,1.0
1,2375,1260,1910,230000,0.0,2.0,0.0,2.0,1.0
1,3750,1712,1955,410000,0.0,2.0,0.0,1.0,1.0
1,2500,2145,1932,231000,0.0,2.0,0.0,2.0,1.0
2,5000,1216,1930,700000,1.0,2.0,0.0,80.0,1.0
1,2500,861,1915,240000,0.0,2.0,0.0,2.0,1.0
1,4755,1487,1959,337400,0.0,2.0,0.0,2.0,1.0
1,5000,707,1940,320000,0.0,2.0,0.0,2.0,1.0
1,4500,750,1950,370000,0.0,2.0,0.0,2.0,1.0
2,1900,2125,1945,340000,0.0,2.0,1.0,9.0,1.0
2,2691,2842,2003,334000,0.0,2.0,1.0,10.0,1.0
2,2593,2643,1945,10,0.0,2.0,1.0,9.0,1.0
2,2550,2643,1945,0,0.0,2.0,1.0,9.0,1.0
2,2375,2110,1950,0,0.0,2.0,1.0,12.0,1.0
2,2375,1810,1920,0,0.0,2.0,1.0,10.0,1.0
2,2375,1810,1920,435000,0.0,2.0,1.0,10.0,1.0
2,1748,2365,1950,1,0.0,2.0,1.0,9.0,1.0
2,2709,2400,1899,585000,1.0,2.0,1.0,10.0,1.0
2,2709,2400,1899,260000,0.0,2.0,1.0,10.0,1.0
2,2850,2110,1950,588000,1.0,2.0,1.0,12.0,1.0
2,1710,1912,1950,0,0.0,2.0,1.0,12.0,1.0
2,2375,1640,1925,0,0.0,2.0,1.0,10.0,1.0
2,932,2031,2007,470000,0.0,2.0,1.0,9.0,1.0
2,2390,3419,1999,0,0.0,2.0,1.0,9.0,1.0
2,2288,1320,1930,0,0.0,2.0,1.0,11.0,1.0
2,1710,1912,1955,0,0.0,2.0,1.0,9.0,1.0
2,4200,3300,1970,0,0.0,2.0,1.0,12.0,1.0
2,4200,3300,1970,645000,1.0,2.0,1.0,12.0,1.0
2,2850,3300,1910,613600,1.0,2.0,1.0,9.0,1.0
2,2500,2187,1955,372000,0.0,2.0,1.0,9.0,1.0
2,2500,3080,1930,200,0.0,2.0,1.0,9.0,1.0
2,2900,3550,1935,0,0.0,2.0,1.0,9.0,1.0
2,2000,2499,1950,635000,1.0,2.0,1.0,9.0,1.0
2,2000,2499,1950,344760,0.0,2.0,1.0,9.0,1.0
2,2658,1976,1930,535000,1.0,2.0,1.0,9.0,1.0
2,2056,2195,1930,215000,0.0,2.0,1.0,12.0,1.0
2,5000,1631,1956,630000,1.0,2.0,1.0,9.0,1.0
2,2500,2160,1920,384000,0.0,2.0,1.0,9.0,1.0
2,2500,2160,1920,431379,0.0,2.0,1.0,9.0,1.0
2,2642,1722,1950,529000,1.0,2.0,1.0,12.0,1.0
2,2642,1722,1950,276000,0.0,2.0,1.0,12.0,1.0
2,2000,2385,1950,285000,0.0,2.0,1.0,11.0,1.0
2,2300,1762,1930,620000,1.0,2.0,1.0,9.0,1.0
2,2300,2156,1930,625000,1.0,2.0,1.0,9.0,1.0
2,2335,1824,1940,0,0.0,2.0,1.0,9.0,1.0
2,2352,1824,1940,0,0.0,2.0,1.0,9.0,1.0
2,2200,1475,1955,0,0.0,2.0,1.0,9.0,1.0
2,2650,1475,1955,0,0.0,2.0,1.0,9.0,1.0
2,1800,1260,1950,523000,1.0,2.0,1.0,11.0,1.0
2,4250,3073,1930,545700,1.0,2.0,1.0,11.0,1.0
2,4750,2880,1970,680000,1.0,2.0,1.0,10.0,1.0
2,4750,2880,1970,300000,0.0,2.0,1.0,10.0,1.0
2,1880,2080,1970,10000,0.0,2.0,1.0,9.0,1.0
2,2183,3073,2000,10,0.0,2.0,1.0,9.0,1.0
2,1920,2585,1970,515000,1.0,2.0,1.0,9.0,1.0
2,4231,2752,1970,0,0.0,2.0,1.0,9.0,1.0
2,2500,2280,1955,490000,1.0,2.0,1.0,9.0,1.0
2,2500,2040,2008,615000,1.0,2.0,1.0,9.0,1.0
2,2500,2040,2008,599000,1.0,2.0,1.0,9.0,1.0
2,2522,1568,1950,371600,0.0,2.0,1.0,9.0,1.0
2,2688,1461,1950,0,0.0,2.0,1.0,9.0,1.0
2,2424,2058,2007,575000,1.0,2.0,1.0,9.0,1.0
2,2424,2058,2007,0,0.0,2.0,1.0,9.0,1.0
2,2377,3654,1920,0,0.0,2.0,1.0,9.0,1.0
2,2375,1520,1910,466000,0.0,2.0,1.0,11.0,1.0
2,2375,1558,1920,338000,0.0,2.0,1.0,11.0,1.0
2,1853,1596,1960,377000,0.0,2.0,1.0,9.0,1.0
2,1895,1800,1950,218500,0.0,2.0,1.0,9.0,1.0
2,1900,1800,1950,480000,1.0,2.0,1.0,9.0,1.0
2,2477,1584,1955,599000,1.0,2.0,1.0,9.0,1.0
2,2700,2880,1960,520000,1.0,2.0,1.0,9.0,1.0
2,3420,3327,1960,620000,1.0,2.0,1.0,9.0,1.0
2,1895,2310,1960,610000,1.0,2.0,1.0,9.0,1.0
2,1895,2310,1960,349830,0.0,2.0,1.0,9.0,1.0
2,2518,2497,2004,457000,0.0,2.0,1.0,9.0,1.0
2,1900,1665,2004,489853,1.0,2.0,1.0,10.0,1.0
2,1900,1665,2004,756822,1.0,2.0,1.0,10.0,1.0
2,2375,1737,1945,0,0.0,2.0,1.0,11.0,1.0
2,1900,2500,1960,302000,0.0,2.0,1.0,9.0,1.0
2,3196,2500,1960,0,0.0,2.0,1.0,9.0,1.0
2,3093,2768,1935,0,0.0,2.0,1.0,11.0,1.0
2,4750,3040,1975,165000,0.0,2.0,1.0,12.0,1.0
2,2377,2138,2008,0,0.0,2.0,1.0,9.0,1.0
2,4750,2385,1901,625000,1.0,2.0,1.0,11.0,1.0
2,1900,1800,1950,480000,1.0,2.0,1.0,9.0,1.0
2,2375,1867,2004,480000,1.0,2.0,1.0,9.0,1.0
2,4513,2040,2006,0,0.0,2.0,1.0,9.0,1.0
2,2353,2040,2006,0,0.0,2.0,1.0,9.0,1.0
2,1630,2040,2006,0,0.0,2.0,1.0,9.0,1.0
2,1611,2040,2006,0,0.0,2.0,1.0,9.0,1.0
2,1737,2040,2006,0,0.0,2.0,1.0,9.0,1.0
2,1888,2040,2006,0,0.0,2.0,1.0,9.0,1.0
2,1657,2040,2006,0,0.0,2.0,1.0,9.0,1.0
2,1675,2040,2006,0,0.0,2.0,1.0,9.0,1.0
2,1730,2040,2006,0,0.0,2.0,1.0,9.0,1.0
2,4750,1063,1910,0,0.0,2.0,1.0,11.0,1.0
2,1868,2351,1960,472500,0.0,2.0,1.0,9.0,1.0
2,2375,2040,2004,605000,1.0,2.0,1.0,10.0,1.0
2,2516,3201,2006,560000,1.0,2.0,1.0,9.0,1.0
2,2912,3105,2006,550000,1.0,2.0,1.0,9.0,1.0
2,2500,2080,1925,150000,0.0,2.0,1.0,10.0,1.0
2,3840,2245,1975,382500,0.0,2.0,1.0,9.0,1.0
2,3246,2875,1960,0,0.0,2.0,1.0,9.0,1.0
2,4750,2768,1940,10,0.0,2.0,1.0,9.0,1.0
2,2020,1051,1925,599000,1.0,2.0,1.0,9.0,1.0
2,2000,2280,1965,0,0.0,2.0,1.0,9.0,1.0
2,2425,2800,1960,565000,1.0,2.0,1.0,9.0,1.0
2,3500,2585,1964,0,0.0,2.0,1.0,9.0,1.0
2,1936,1894,1950,304500,0.0,2.0,1.0,9.0,1.0
2,1643,1792,1950,150000,0.0,2.0,1.0,9.0,1.0
2,1643,1792,1950,0,0.0,2.0,1.0,9.0,1.0
2,1264,1384,1970,200000,0.0,2.0,1.0,12.0,1.0
2,2088,2200,1997,475000,0.0,2.0,1.0,10.0,1.0
2,2986,2800,1964,240000,0.0,2.0,1.0,9.0,1.0
2,2640,1890,1964,575000,1.0,2.0,1.0,9.0,1.0
2,1995,2714,1965,540000,1.0,2.0,1.0,9.0,1.0
2,2208,1296,1940,365000,0.0,2.0,1.0,11.0,1.0
2,1800,1701,1957,450000,0.0,2.0,1.0,12.0,1.0
2,2500,2550,2015,697501,1.0,2.0,1.0,9.0,1.0
2,2500,2550,2015,697501,1.0,2.0,1.0,9.0,1.0
2,1581,2166,1996,355000,0.0,2.0,1.0,10.0,1.0
2,3166,2166,1996,382785,0.0,2.0,1.0,10.0,1.0
2,3263,2270,1999,226726,0.0,2.0,1.0,10.0,1.0
2,2590,2270,1998,540000,1.0,2.0,1.0,10.0,1.0
2,1950,2166,1996,533667,1.0,2.0,1.0,10.0,1.0
2,1900,2270,1999,500,0.0,2.0,1.0,10.0,1.0
2,1195,1683,1961,425000,0.0,2.0,1.0,9.0,1.0
2,3300,1649,1925,470000,0.0,2.0,1.0,11.0,1.0
2,5000,1044,1920,0,0.0,2.0,1.0,10.0,1.0
2,2500,1488,1925,275000,0.0,2.0,1.0,11.0,1.0
2,4200,1374,1925,427000,0.0,2.0,1.0,11.0,1.0
2,2026,1672,1959,308000,0.0,2.0,1.0,12.0,1.0
2,1710,1672,1959,410000,0.0,2.0,1.0,12.0,1.0
2,1710,1697,1959,408000,0.0,2.0,1.0,12.0,1.0
2,5000,2323,1948,0,0.0,2.0,1.0,11.0,1.0
2,1422,1888,1961,0,0.0,2.0,1.0,9.0,1.0
2,3125,2768,1956,10,0.0,2.0,1.0,9.0,1.0
2,4750,2024,1925,0,0.0,2.0,1.0,10.0,1.0
