TOTAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,YEAR_BUILT,SALE_PRICE,PRICE_B,BOROUGH_encoded,BUILDING_CLASS_CATEGORY_encoded,BUILDING_CLASS_AT_PRESENT_encoded,TAX_CLASS_AT_TIME_OF_SALE_encoded
0,0,0,1958,175000,0.0,2.0,8.0,17.0,2.0
0,0,0,1958,115000,0.0,2.0,8.0,17.0,2.0
0,0,0,1958,115000,0.0,2.0,8.0,17.0,2.0
0,0,0,1958,174000,0.0,2.0,8.0,17.0,2.0
0,0,0,1958,236000,0.0,2.0,8.0,17.0,2.0
0,0,0,1958,110000,0.0,2.0,8.0,17.0,2.0
0,0,0,1955,143000,0.0,2.0,8.0,17.0,2.0
0,0,0,1958,95000,0.0,2.0,8.0,17.0,2.0
0,0,0,1958,70000,0.0,2.0,8.0,17.0,2.0
0,0,0,1958,79000,0.0,2.0,8.0,17.0,2.0
0,0,0,1958,155000,0.0,2.0,8.0,17.0,2.0
0,0,0,1958,125000,0.0,2.0,8.0,17.0,2.0
0,0,0,1958,147500,0.0,2.0,8.0,17.0,2.0
0,0,0,1958,114500,0.0,2.0,8.0,17.0,2.0
0,0,0,1958,107000,0.0,2.0,8.0,17.0,2.0
0,0,0,1958,164000,0.0,2.0,8.0,17.0,2.0
0,0,0,1957,110000,0.0,2.0,8.0,17.0,2.0
0,0,0,1957,205000,0.0,2.0,8.0,17.0,2.0
0,0,0,1957,117000,0.0,2.0,8.0,17.0,2.0
1,1547,1428,1930,800000,1.0,3.0,0.0,5.0,1.0
1,1933,1660,1930,0,0.0,3.0,0.0,5.0,1.0
1,1638,972,1930,0,0.0,3.0,0.0,5.0,1.0
2,1342,1920,1926,1200000,1.0,3.0,0.0,80.0,1.0
2,1740,3240,1925,1090000,1.0,3.0,0.0,80.0,1.0
1,2868,2330,1915,0,0.0,3.0,0.0,8.0,1.0
2,1172,1800,1920,1060000,1.0,3.0,0.0,80.0,1.0
1,3867,2739,1910,950000,1.0,3.0,0.0,1.0,1.0
1,2015,1458,1910,0,0.0,3.0,0.0,8.0,1.0
2,709,1178,1925,638000,1.0,3.0,0.0,80.0,1.0
1,1933,1152,1920,788000,1.0,3.0,0.0,1.0,1.0
1,1933,1152,1920,750000,1.0,3.0,0.0,8.0,1.0
1,1760,992,1950,0,0.0,3.0,0.0,5.0,1.0
1,1980,1188,1950,0,0.0,3.0,0.0,5.0,1.0
1,1795,1204,1930,0,0.0,3.0,0.0,5.0,1.0
1,1944,1188,1940,848000,1.0,3.0,0.0,5.0,1.0
1,1649,928,1945,700000,1.0,3.0,0.0,5.0,1.0
1,2060,1240,1940,0,0.0,3.0,0.0,5.0,1.0
1,1649,928,1940,748000,1.0,3.0,0.0,5.0,1.0
1,2062,1240,1940,850000,1.0,3.0,0.0,5.0,1.0
1,1384,992,1950,786000,1.0,3.0,0.0,5.0,1.0
1,1983,1420,1945,815000,1.0,3.0,0.0,5.0,1.0
2,2320,2160,1930,1388000,1.0,3.0,1.0,9.0,1.0
2,2320,2160,1930,1150000,1.0,3.0,1.0,9.0,1.0
2,2320,2160,1930,452500,0.0,3.0,1.0,9.0,1.0
2,2312,2160,1930,999000,1.0,3.0,1.0,9.0,1.0
3,1917,2496,1931,1350000,1.0,3.0,1.0,81.0,1.0
2,1547,1428,1930,0,0.0,3.0,1.0,11.0,1.0
2,1718,2298,1960,1220000,1.0,3.0,1.0,9.0,1.0
2,2513,1428,1930,740000,1.0,3.0,1.0,11.0,1.0
2,2103,1622,1930,928000,1.0,3.0,1.0,11.0,1.0
2,1920,1840,1920,0,0.0,3.0,1.0,9.0,1.0
2,1920,1840,1920,10,0.0,3.0,1.0,9.0,1.0
2,2058,1492,1930,0,0.0,3.0,1.0,11.0,1.0
2,2058,1492,1930,0,0.0,3.0,1.0,11.0,1.0
2,1439,1292,1920,0,0.0,3.0,1.0,11.0,1.0
2,2160,3072,1901,800000,1.0,3.0,1.0,9.0,1.0
2,3178,2745,1950,0,0.0,3.0,1.0,9.0,1.0
2,1933,3240,1901,0,0.0,3.0,1.0,9.0,1.0
2,4833,1992,1899,1350000,1.0,3.0,1.0,11.0,1.0
3,1113,3840,1925,25000,0.0,3.0,1.0,81.0,1.0
2,1265,1260,1935,0,0.0,3.0,1.0,11.0,1.0
2,2417,1584,1930,826819,1.0,3.0,1.0,10.0,1.0
2,2223,2520,1930,610000,1.0,3.0,1.0,10.0,1.0
2,2223,2520,1930,610000,1.0,3.0,1.0,10.0,1.0
2,1540,3162,1920,1030000,1.0,3.0,1.0,9.0,1.0
2,1600,3162,1920,10,0.0,3.0,1.0,9.0,1.0
2,3867,3235,1930,1600000,1.0,3.0,1.0,10.0,1.0
2,2393,2560,1910,700000,1.0,3.0,1.0,9.0,1.0
2,2127,1701,1950,1150000,1.0,3.0,1.0,12.0,1.0
2,1933,2260,1960,0,0.0,3.0,1.0,11.0,1.0
2,2296,2160,1940,0,0.0,3.0,1.0,9.0,1.0
2,3867,2400,1955,1550000,1.0,3.0,1.0,12.0,1.0
2,2336,2160,1940,1380000,1.0,3.0,1.0,9.0,1.0
2,2707,1736,1920,0,0.0,3.0,1.0,10.0,1.0
2,2920,1764,1920,1300000,1.0,3.0,1.0,11.0,1.0
2,3867,1820,1925,0,0.0,3.0,1.0,11.0,1.0
2,3253,2660,1925,1400000,1.0,3.0,1.0,11.0,1.0
2,2171,1920,1935,1130000,1.0,3.0,1.0,9.0,1.0
2,1800,2268,1930,1080000,1.0,3.0,1.0,9.0,1.0
2,3880,1574,1955,0,0.0,3.0,1.0,9.0,1.0
2,1950,1587,1920,915000,1.0,3.0,1.0,11.0,1.0
2,2419,2350,1930,900000,1.0,3.0,1.0,10.0,1.0
2,2167,2104,1925,950000,1.0,3.0,1.0,10.0,1.0
2,2344,3100,1965,1450000,1.0,3.0,1.0,12.0,1.0
2,1558,2365,1965,995000,1.0,3.0,1.0,12.0,1.0
2,1320,2160,1920,1050000,1.0,3.0,1.0,9.0,1.0
2,4320,0,1935,0,0.0,3.0,1.0,10.0,1.0
2,1974,2520,1940,990000,1.0,3.0,1.0,12.0,1.0
2,2900,2080,1925,0,0.0,3.0,1.0,11.0,1.0
2,2070,1802,1935,938000,1.0,3.0,1.0,12.0,1.0
2,2425,3601,1935,1300000,1.0,3.0,1.0,12.0,1.0
2,2000,1812,1935,0,0.0,3.0,1.0,9.0,1.0
2,1933,2048,1935,999000,1.0,3.0,1.0,10.0,1.0
2,2900,2360,1930,0,0.0,3.0,1.0,9.0,1.0
2,1534,1456,1935,0,0.0,3.0,1.0,11.0,1.0
2,1983,2200,1935,1170000,1.0,3.0,1.0,9.0,1.0
2,2153,2614,1965,1300000,1.0,3.0,1.0,12.0,1.0
3,2500,4824,1910,1000000,1.0,3.0,1.0,81.0,1.0
2,1916,1762,1960,0,0.0,3.0,1.0,9.0,1.0
2,1916,1762,1960,1135000,1.0,3.0,1.0,9.0,1.0
2,2268,1668,1950,0,0.0,3.0,1.0,12.0,1.0
3,1883,3960,1925,0,0.0,3.0,1.0,81.0,1.0
2,2707,2000,1965,0,0.0,3.0,1.0,9.0,1.0
2,2707,2000,1965,0,0.0,3.0,1.0,9.0,1.0
2,1643,1464,1930,820000,1.0,3.0,1.0,11.0,1.0
2,1643,1464,1930,293700,0.0,3.0,1.0,11.0,1.0
2,2815,2574,1965,0,0.0,3.0,1.0,12.0,1.0
2,1937,2620,1965,1180000,1.0,3.0,1.0,12.0,1.0
3,2015,2740,1910,0,0.0,3.0,1.0,81.0,1.0
2,3867,2514,1920,0,0.0,3.0,1.0,11.0,1.0
2,1933,1976,1945,10,0.0,3.0,1.0,9.0,1.0
2,1442,1550,1925,830000,1.0,3.0,1.0,12.0,1.0
2,1740,1674,1960,0,0.0,3.0,1.0,11.0,1.0
2,1740,1674,1960,0,0.0,3.0,1.0,11.0,1.0
2,1933,1860,1955,0,0.0,3.0,1.0,9.0,1.0
2,1933,1860,1955,0,0.0,3.0,1.0,9.0,1.0
2,1933,1860,1955,990000,1.0,3.0,1.0,9.0,1.0
2,1740,1629,1955,960000,1.0,3.0,1.0,11.0,1.0
2,1760,992,1950,0,0.0,3.0,1.0,12.0,1.0
2,1885,1928,1950,940000,1.0,3.0,1.0,9.0,1.0
2,1740,1876,1950,920000,1.0,3.0,1.0,11.0,1.0
2,1901,1662,1950,0,0.0,3.0,1.0,9.0,1.0
2,1515,1280,1940,0,0.0,3.0,1.0,9.0,1.0
2,2600,1914,1955,949000,1.0,3.0,1.0,12.0,1.0
2,1746,1890,1940,0,0.0,3.0,1.0,9.0,1.0
2,2017,1240,1940,835000,1.0,3.0,1.0,12.0,1.0
2,1649,928,1940,0,0.0,3.0,1.0,11.0,1.0
2,2603,2898,1940,0,0.0,3.0,1.0,9.0,1.0
2,1920,2280,1960,0,0.0,3.0,1.0,12.0,1.0
2,2562,1561,1945,150000,0.0,3.0,1.0,11.0,1.0
2,1938,1650,1940,0,0.0,3.0,1.0,9.0,1.0
2,1547,1584,1940,0,0.0,3.0,1.0,11.0,1.0
2,2127,1610,1940,885000,1.0,3.0,1.0,11.0,1.0
2,2310,1944,1940,0,0.0,3.0,1.0,9.0,1.0
2,1547,1320,1940,750000,1.0,3.0,1.0,11.0,1.0
2,1740,1782,1940,0,0.0,3.0,1.0,11.0,1.0
2,1740,1536,1940,0,0.0,3.0,1.0,11.0,1.0
2,2182,1869,1945,952000,1.0,3.0,1.0,12.0,1.0
2,2299,1869,1945,10,0.0,3.0,1.0,12.0,1.0
2,2178,1557,1945,0,0.0,3.0,1.0,11.0,1.0
2,2090,1993,1945,165000,0.0,3.0,1.0,12.0,1.0
2,1520,1584,1945,780000,1.0,3.0,1.0,9.0,1.0
2,1966,2070,1950,960000,1.0,3.0,1.0,12.0,1.0
3,2167,1960,1899,0,0.0,3.0,2.0,13.0,1.0
3,2094,2352,1920,0,0.0,3.0,2.0,13.0,1.0
3,1933,2880,1920,990000,1.0,3.0,2.0,13.0,1.0
3,4833,2748,1930,0,0.0,3.0,2.0,13.0,1.0
3,2978,3456,1930,0,0.0,3.0,2.0,13.0,1.0
3,1856,2375,1930,0,0.0,3.0,2.0,13.0,1.0
3,3867,4096,1930,0,0.0,3.0,2.0,13.0,1.0
3,2658,3286,2009,0,0.0,3.0,2.0,13.0,1.0
3,3867,3277,1930,0,0.0,3.0,2.0,13.0,1.0
3,3867,3277,1930,0,0.0,3.0,2.0,13.0,1.0
3,3867,3277,1930,0,0.0,3.0,2.0,13.0,1.0
3,4947,3248,1930,1600000,1.0,3.0,2.0,13.0,1.0
3,3867,3627,1930,1470000,1.0,3.0,2.0,13.0,1.0
3,3870,3643,1930,1400000,1.0,3.0,2.0,13.0,1.0
3,3867,3785,1910,0,0.0,3.0,2.0,13.0,1.0
3,3867,3075,1920,0,0.0,3.0,2.0,13.0,1.0
3,2900,2272,1988,0,0.0,3.0,2.0,13.0,1.0
3,3867,2845,1910,0,0.0,3.0,2.0,13.0,1.0
3,2800,3141,1992,0,0.0,3.0,2.0,13.0,1.0
3,2900,0,2014,1596616,1.0,3.0,2.0,13.0,1.0
3,1917,3078,1960,1288000,1.0,3.0,2.0,13.0,1.0
3,2280,3240,1930,600000,1.0,3.0,2.0,13.0,1.0
3,2248,2970,1930,930000,1.0,3.0,2.0,13.0,1.0
3,2296,2160,1940,985000,1.0,3.0,2.0,13.0,1.0
3,2336,2160,1940,1200000,1.0,3.0,2.0,13.0,1.0
3,2500,2400,1930,1150000,1.0,3.0,2.0,13.0,1.0
3,2368,2480,1935,0,0.0,3.0,2.0,13.0,1.0
3,3360,1800,1930,0,0.0,3.0,2.0,13.0,1.0
3,3867,1452,1899,998000,1.0,3.0,2.0,13.0,1.0
3,3867,1452,1899,0,0.0,3.0,2.0,13.0,1.0
3,2552,2898,1960,0,0.0,3.0,2.0,13.0,1.0
3,3383,2561,1920,0,0.0,3.0,2.0,13.0,1.0
3,1933,3372,1899,0,0.0,3.0,2.0,13.0,1.0
3,1938,2840,2016,1456097,1.0,3.0,2.0,13.0,1.0
3,1938,0,2015,1476462,1.0,3.0,2.0,13.0,1.0
3,2812,4215,1997,1800000,1.0,3.0,2.0,13.0,1.0
3,1651,2508,1920,0,0.0,3.0,2.0,13.0,1.0
3,1933,3120,1901,0,0.0,3.0,2.0,13.0,1.0
3,1933,3213,1910,10,0.0,3.0,2.0,13.0,1.0
3,2137,3013,1925,1089000,1.0,3.0,2.0,13.0,1.0
3,2352,2510,1950,0,0.0,3.0,2.0,13.0,1.0
3,2352,2510,1950,1150000,1.0,3.0,2.0,13.0,1.0
3,3007,3430,1975,0,0.0,3.0,2.0,13.0,1.0
3,2625,3661,1970,1260000,1.0,3.0,2.0,13.0,1.0
3,1933,3162,1930,1218000,1.0,3.0,2.0,13.0,1.0
3,1562,1890,1940,0,0.0,3.0,2.0,13.0,1.0
3,2523,3144,1940,1730000,1.0,3.0,2.0,13.0,1.0
3,2280,3261,1945,1380000,1.0,3.0,2.0,13.0,1.0
1,0,0,2007,670000,1.0,3.0,3.0,64.0,1.0
1,0,0,2015,529490,1.0,3.0,3.0,64.0,1.0
1,0,0,2014,650000,1.0,3.0,3.0,64.0,1.0
1,0,0,2007,730000,1.0,3.0,3.0,64.0,1.0
1,0,0,2007,610000,1.0,3.0,3.0,64.0,1.0
1,0,0,2007,670000,1.0,3.0,3.0,64.0,1.0
1,0,0,2007,0,0.0,3.0,3.0,64.0,1.0
1,0,0,2007,0,0.0,3.0,3.0,64.0,1.0
1,0,0,2006,550000,1.0,3.0,3.0,64.0,1.0
1,0,0,2011,0,0.0,3.0,3.0,64.0,1.0
1,0,0,2011,0,0.0,3.0,3.0,64.0,1.0
1,0,0,2007,625000,1.0,3.0,3.0,64.0,1.0
1,0,0,2007,635000,1.0,3.0,3.0,64.0,1.0
1,0,0,2007,230000,0.0,3.0,3.0,64.0,1.0
1,0,0,2002,700000,1.0,3.0,3.0,64.0,1.0
0,0,0,1916,235000,0.0,3.0,7.0,14.0,2.0
0,0,0,1949,44000,0.0,3.0,7.0,14.0,2.0
0,0,0,1949,180000,0.0,3.0,7.0,14.0,2.0
0,0,0,1949,335000,0.0,3.0,7.0,14.0,2.0
0,0,0,1949,239000,0.0,3.0,7.0,14.0,2.0
0,0,0,1949,210000,0.0,3.0,7.0,14.0,2.0
0,0,0,1949,210000,0.0,3.0,7.0,14.0,2.0
0,0,0,1949,320000,0.0,3.0,7.0,14.0,2.0
0,0,0,1949,232000,0.0,3.0,7.0,14.0,2.0
0,0,0,1949,270000,0.0,3.0,7.0,14.0,2.0
0,0,0,1949,380250,0.0,3.0,7.0,14.0,2.0
0,0,0,1946,290000,0.0,3.0,7.0,14.0,2.0
0,0,0,1946,350000,0.0,3.0,7.0,14.0,2.0
0,0,0,1950,225000,0.0,3.0,7.0,14.0,2.0
0,0,0,1950,204000,0.0,3.0,7.0,14.0,2.0
0,0,0,1950,355000,0.0,3.0,7.0,14.0,2.0
0,0,0,1950,355000,0.0,3.0,7.0,14.0,2.0
0,0,0,1950,0,0.0,3.0,7.0,14.0,2.0
0,0,0,1950,0,0.0,3.0,7.0,14.0,2.0
0,0,0,1950,242000,0.0,3.0,7.0,14.0,2.0
0,0,0,1950,267000,0.0,3.0,7.0,14.0,2.0
0,0,0,1950,309000,0.0,3.0,7.0,14.0,2.0
0,0,0,1950,310000,0.0,3.0,7.0,14.0,2.0
0,0,0,1950,291573,0.0,3.0,7.0,14.0,2.0
0,0,0,1960,365000,0.0,3.0,8.0,17.0,2.0
0,0,0,1960,399000,0.0,3.0,8.0,17.0,2.0
0,0,0,1916,165000,0.0,3.0,8.0,17.0,2.0
0,0,0,1928,160000,0.0,3.0,8.0,17.0,2.0
0,0,0,1928,260000,0.0,3.0,8.0,17.0,2.0
1,0,0,2012,475000,0.0,3.0,10.0,63.0,2.0
1,0,0,2002,600000,1.0,3.0,12.0,62.0,2.0
1,0,0,2009,655000,1.0,3.0,12.0,62.0,2.0
1,0,0,2009,0,0.0,3.0,13.0,68.0,2.0
1,0,0,2007,870000,1.0,3.0,13.0,68.0,2.0
0,1300,3900,1931,0,0.0,3.0,15.0,54.0,3.0
3,1251,2565,1931,0,0.0,3.0,16.0,43.0,3.0
2,1900,2850,1931,1850000,1.0,3.0,16.0,43.0,3.0
1,1942,1357,1906,0,0.0,3.0,16.0,40.0,3.0
2,2083,2853,1910,990000,1.0,3.0,16.0,43.0,3.0
1,0,0,2007,0,0.0,3.0,32.0,74.0,3.0
1,0,0,2011,0,0.0,3.0,32.0,74.0,3.0
1,0,0,2007,0,0.0,3.0,32.0,74.0,3.0
1,0,0,2007,0,0.0,3.0,32.0,74.0,3.0
1,0,0,2006,0,0.0,3.0,32.0,74.0,3.0
1,0,0,2011,0,0.0,3.0,32.0,74.0,3.0
1,0,0,2011,0,0.0,3.0,32.0,74.0,3.0
1,0,0,2007,0,0.0,3.0,32.0,74.0,3.0
1,0,0,2007,0,0.0,3.0,32.0,74.0,3.0
1,0,0,2007,0,0.0,3.0,32.0,74.0,3.0
1,2000,1905,1935,980000,1.0,3.0,0.0,5.0,1.0
1,1900,1905,1935,1065000,1.0,3.0,0.0,5.0,1.0
1,1600,1056,1935,0,0.0,3.0,0.0,5.0,1.0
1,845,892,1950,530000,1.0,3.0,0.0,5.0,1.0
1,1666,2400,1910,0,0.0,3.0,0.0,4.0,1.0
1,1667,1696,1899,1190000,1.0,3.0,0.0,4.0,1.0
1,1420,1480,1915,0,0.0,3.0,0.0,5.0,1.0
1,1820,1359,1925,0,0.0,3.0,0.0,5.0,1.0
1,1150,1296,1925,0,0.0,3.0,0.0,5.0,1.0
1,1643,1188,1925,0,0.0,3.0,0.0,5.0,1.0
1,1755,1254,1925,1100000,1.0,3.0,0.0,5.0,1.0
1,1465,1567,1925,810000,1.0,3.0,0.0,5.0,1.0
1,1411,1192,1925,890000,1.0,3.0,0.0,5.0,1.0
1,1411,1192,1925,900000,1.0,3.0,0.0,5.0,1.0
1,2600,1760,1915,0,0.0,3.0,0.0,1.0,1.0
1,1950,1216,1920,0,0.0,3.0,0.0,8.0,1.0
1,1952,1216,1920,0,0.0,3.0,0.0,8.0,1.0
1,1958,992,1920,835000,1.0,3.0,0.0,8.0,1.0
2,1207,2400,1928,1780000,1.0,3.0,0.0,80.0,1.0
1,1130,1296,1925,0,0.0,3.0,0.0,5.0,1.0
1,945,1224,1925,1055000,1.0,3.0,0.0,5.0,1.0
1,1169,1142,1935,650000,1.0,3.0,0.0,5.0,1.0
1,1583,1312,1925,0,0.0,3.0,0.0,4.0,1.0
1,2492,1620,1920,770000,1.0,3.0,0.0,1.0,1.0
1,1500,2035,1925,0,0.0,3.0,0.0,5.0,1.0
1,1500,2035,1925,0,0.0,3.0,0.0,5.0,1.0
1,1500,2035,1925,0,0.0,3.0,0.0,5.0,1.0
1,2000,2290,1899,0,0.0,3.0,0.0,8.0,1.0
1,1967,1264,1925,1037500,1.0,3.0,0.0,5.0,1.0
1,2074,1332,1925,0,0.0,3.0,0.0,5.0,1.0
1,1317,938,1930,753000,1.0,3.0,0.0,5.0,1.0
1,2000,1728,1930,417000,0.0,3.0,0.0,5.0,1.0
1,2000,1728,1930,850000,1.0,3.0,0.0,5.0,1.0
1,1887,2640,1899,1500000,1.0,3.0,0.0,4.0,1.0
2,2000,2642,1910,210000,0.0,3.0,0.0,80.0,1.0
1,1800,1744,1925,1100000,1.0,3.0,0.0,5.0,1.0
1,2000,1720,1905,1030000,1.0,3.0,0.0,4.0,1.0
2,4373,3350,1920,1775000,1.0,3.0,0.0,80.0,1.0
2,2988,1739,1905,1200000,1.0,3.0,0.0,80.0,1.0
1,1667,1420,1910,0,0.0,3.0,0.0,8.0,1.0
1,2000,2424,1910,955000,1.0,3.0,0.0,5.0,1.0
1,3016,2200,1920,1410000,1.0,3.0,0.0,1.0,1.0
1,3025,1472,1925,1337500,1.0,3.0,0.0,1.0,1.0
1,2624,1700,1925,1050000,1.0,3.0,0.0,5.0,1.0
1,2624,1700,1925,0,0.0,3.0,0.0,5.0,1.0
1,1942,1534,1920,850000,1.0,3.0,0.0,5.0,1.0
1,2000,1600,1920,0,0.0,3.0,0.0,5.0,1.0
1,2000,1480,1920,884000,1.0,3.0,0.0,5.0,1.0
1,2000,1660,1899,0,0.0,3.0,0.0,5.0,1.0
1,1950,1216,1915,596396,1.0,3.0,0.0,5.0,1.0
1,2700,1361,1925,0,0.0,3.0,0.0,1.0,1.0
1,2870,1686,1925,1390000,1.0,3.0,0.0,1.0,1.0
1,3007,1576,1925,1500000,1.0,3.0,0.0,1.0,1.0
1,2733,1636,1998,1350000,1.0,3.0,0.0,1.0,1.0
1,1913,1816,1920,1200000,1.0,3.0,0.0,1.0,1.0
1,2100,1632,1925,911333,1.0,3.0,0.0,5.0,1.0
1,2508,1504,1930,947000,1.0,3.0,0.0,1.0,1.0
1,4000,1976,1935,0,0.0,3.0,0.0,3.0,1.0
1,4265,3280,1930,0,0.0,3.0,0.0,3.0,1.0
1,1907,1800,1925,1150000,1.0,3.0,0.0,1.0,1.0
1,4373,2617,1925,1450000,1.0,3.0,0.0,1.0,1.0
1,2187,1408,1925,1100000,1.0,3.0,0.0,1.0,1.0
1,1463,1192,1925,0,0.0,3.0,0.0,5.0,1.0
1,1600,2010,1910,770000,1.0,3.0,0.0,5.0,1.0
1,3644,1708,1920,1600000,1.0,3.0,0.0,1.0,1.0
1,2788,1392,1920,0,0.0,3.0,0.0,1.0,1.0
1,2187,1540,1925,1150000,1.0,3.0,0.0,1.0,1.0
1,2187,1328,1910,980000,1.0,3.0,0.0,5.0,1.0
1,2275,1957,1915,10,0.0,3.0,0.0,5.0,1.0
1,2275,1957,1915,10,0.0,3.0,0.0,5.0,1.0
1,5467,2978,1910,0,0.0,3.0,0.0,1.0,1.0
1,3633,2401,1930,1325000,1.0,3.0,0.0,1.0,1.0
1,3280,1280,1920,930000,1.0,3.0,0.0,5.0,1.0
1,2187,1328,1920,0,0.0,3.0,0.0,5.0,1.0
1,4000,2100,1920,1625000,1.0,3.0,0.0,1.0,1.0
1,2100,1626,1920,997000,1.0,3.0,0.0,5.0,1.0
1,5000,2412,1925,0,0.0,3.0,0.0,3.0,1.0
2,2280,2736,1920,0,0.0,3.0,0.0,80.0,1.0
2,2280,2736,1920,1080000,1.0,3.0,0.0,80.0,1.0
2,2280,2736,1920,0,0.0,3.0,0.0,80.0,1.0
1,3090,1280,1915,0,0.0,3.0,0.0,5.0,1.0
1,1950,1368,1915,0,0.0,3.0,0.0,5.0,1.0
1,3614,2193,1920,1400000,1.0,3.0,0.0,5.0,1.0
1,2503,1218,1910,725000,1.0,3.0,0.0,2.0,1.0
1,4956,1608,1905,1770000,1.0,3.0,0.0,1.0,1.0
1,4000,2250,1925,0,0.0,3.0,0.0,1.0,1.0
1,2500,1496,1925,1050000,1.0,3.0,0.0,5.0,1.0
1,1917,1633,1925,870000,1.0,3.0,0.0,5.0,1.0
1,1917,1633,1925,0,0.0,3.0,0.0,5.0,1.0
1,1917,1633,1925,0,0.0,3.0,0.0,5.0,1.0
1,2000,2040,1925,0,0.0,3.0,0.0,5.0,1.0
1,2000,2007,1910,1180000,1.0,3.0,0.0,5.0,1.0
1,2600,1852,1925,0,0.0,3.0,0.0,5.0,1.0
1,2500,1472,1925,960000,1.0,3.0,0.0,1.0,1.0
1,2000,1440,1940,600000,1.0,3.0,0.0,5.0,1.0
1,946,1044,1925,700000,1.0,3.0,0.0,5.0,1.0
1,3470,1192,1925,750000,1.0,3.0,0.0,1.0,1.0
1,3000,1656,1925,0,0.0,3.0,0.0,8.0,1.0
1,2550,2228,1925,0,0.0,3.0,0.0,3.0,1.0
1,2550,2228,1925,0,0.0,3.0,0.0,3.0,1.0
1,2000,1336,1925,0,0.0,3.0,0.0,8.0,1.0
1,2000,1328,1920,950000,1.0,3.0,0.0,5.0,1.0
1,1800,1560,1920,1340000,1.0,3.0,0.0,5.0,1.0
1,1800,1625,1920,0,0.0,3.0,0.0,5.0,1.0
1,2502,1344,1925,995000,1.0,3.0,0.0,8.0,1.0
1,1000,1160,1940,735000,1.0,3.0,0.0,5.0,1.0
1,1301,1370,1930,0,0.0,3.0,0.0,5.0,1.0
1,2100,1200,1925,0,0.0,3.0,0.0,1.0,1.0
1,2000,1248,1925,879000,1.0,3.0,0.0,8.0,1.0
1,2000,1248,1925,0,0.0,3.0,0.0,8.0,1.0
1,3185,1280,1925,1095500,1.0,3.0,0.0,8.0,1.0
1,2425,1344,1925,1100000,1.0,3.0,0.0,1.0,1.0
1,2000,1590,1925,1225000,1.0,3.0,0.0,1.0,1.0
1,2000,1590,1925,0,0.0,3.0,0.0,1.0,1.0
1,2000,1590,1925,0,0.0,3.0,0.0,1.0,1.0
1,3343,1000,1925,0,0.0,3.0,0.0,8.0,1.0
1,1361,1344,1920,839000,1.0,3.0,0.0,5.0,1.0
1,2500,1472,1925,0,0.0,3.0,0.0,1.0,1.0
1,2500,1472,1925,630000,1.0,3.0,0.0,1.0,1.0
1,2240,2080,1925,950000,1.0,3.0,0.0,1.0,1.0
1,2500,1632,1925,1200000,1.0,3.0,0.0,5.0,1.0
1,2500,1632,1925,1100000,1.0,3.0,0.0,5.0,1.0
1,2005,1897,1925,940000,1.0,3.0,0.0,1.0,1.0
1,953,910,1925,0,0.0,3.0,0.0,5.0,1.0
1,930,910,1925,730000,1.0,3.0,0.0,5.0,1.0
1,923,910,1925,324813,0.0,3.0,0.0,5.0,1.0
1,1253,1272,1925,531989,1.0,3.0,0.0,5.0,1.0
1,1800,1456,1925,860000,1.0,3.0,0.0,5.0,1.0
1,2550,2604,1930,381250,0.0,3.0,0.0,1.0,1.0
1,2450,3216,2016,1550000,1.0,3.0,0.0,5.0,1.0
1,1199,874,1901,384000,0.0,3.0,0.0,8.0,1.0
1,2500,1488,1925,999000,1.0,3.0,0.0,5.0,1.0
1,892,1615,1986,950000,1.0,3.0,0.0,5.0,1.0
1,650,804,1925,745000,1.0,3.0,0.0,5.0,1.0
1,2634,2144,1925,1092500,1.0,3.0,0.0,1.0,1.0
1,1658,1680,1940,0,0.0,3.0,0.0,5.0,1.0
2,1892,1410,1925,0,0.0,3.0,0.0,80.0,1.0
1,2250,2272,1925,1080000,1.0,3.0,0.0,5.0,1.0
1,2090,1624,1935,399000,0.0,3.0,0.0,2.0,1.0
1,2074,1554,1935,10,0.0,3.0,0.0,2.0,1.0
1,1295,1782,1940,917000,1.0,3.0,0.0,5.0,1.0
1,2233,1788,1935,880000,1.0,3.0,0.0,5.0,1.0
1,1476,1584,1955,840000,1.0,3.0,0.0,5.0,1.0
1,2278,2430,2008,0,0.0,3.0,0.0,5.0,1.0
1,2170,2072,1925,950000,1.0,3.0,0.0,5.0,1.0
1,2506,2268,1930,875000,1.0,3.0,0.0,5.0,1.0
1,1440,1312,1935,630000,1.0,3.0,0.0,5.0,1.0
2,1933,2850,1930,60000,0.0,3.0,1.0,9.0,1.0
2,1933,2080,1927,0,0.0,3.0,1.0,9.0,1.0
3,2600,3300,1925,1350000,1.0,3.0,1.0,81.0,1.0
2,1762,2660,1910,238000,0.0,3.0,1.0,12.0,1.0
2,1762,2660,1910,800000,1.0,3.0,1.0,12.0,1.0
2,2000,3264,1899,0,0.0,3.0,1.0,12.0,1.0
2,1606,2130,1920,1268000,1.0,3.0,1.0,9.0,1.0
2,1875,2076,1930,1240000,1.0,3.0,1.0,9.0,1.0
2,3000,4320,2001,1145000,1.0,3.0,1.0,9.0,1.0
2,1900,1724,1950,1100000,1.0,3.0,1.0,9.0,1.0
2,2500,2100,1925,0,0.0,3.0,1.0,10.0,1.0
2,2500,2372,1920,1275000,1.0,3.0,1.0,9.0,1.0
