BOROUGH,BUILDING_CLASS_CATEGORY,BUILDING_CLASS_AT_PRESENT,TOTAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,YEAR_BUILT,TAX_CLASS_AT_TIME_OF_SALE,SALE_PRICE,PRICE_B
2,01 ONE FAMILY DWELLINGS                    ,A3,1,5000,2119,1940,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B3,2,5000,2080,1925,1,738000,1.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2400,2288,1950,1,500000,1.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,5000,1431,1950,1,640000,1.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2500,1890,1945,1,460000,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2500,2706,1965,1,630000,1.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2500,2260,1950,1,540000,1.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2500,2080,1950,1,466440,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2200,3432,1970,1,660000,1.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2500,1818,2009,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2500,1818,2009,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2500,1818,2009,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2652,2500,1950,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2000,2060,1950,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2450,2060,1950,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,1504,1500,1940,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2500,1920,1940,1,579000,1.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,1425,2242,1940,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2500,1926,1925,1,669000,1.0
2,02 TWO FAMILY DWELLINGS                    ,B3,2,3700,2470,1925,1,6500,0.0
2,02 TWO FAMILY DWELLINGS                    ,B3,2,2442,2305,1955,1,500000,1.0
2,02 TWO FAMILY DWELLINGS                    ,B3,2,2442,2305,1955,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2600,3289,1940,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2533,2168,1910,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B3,2,1850,1732,1940,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2500,2359,1950,1,438000,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,3053,2437,1920,1,700000,1.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2500,2400,1920,1,615000,1.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2850,1734,1940,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2850,1734,1940,1,500000,1.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2900,2270,1940,1,673000,1.0
2,03 THREE FAMILY DWELLINGS                  ,C0,3,2500,2065,1935,1,0,0.0
2,03 THREE FAMILY DWELLINGS                  ,C0,3,5000,2048,1960,1,0,0.0
2,03 THREE FAMILY DWELLINGS                  ,C0,3,3742,2530,1965,1,0,0.0
2,03 THREE FAMILY DWELLINGS                  ,C0,3,2190,3441,2009,1,0,0.0
2,03 THREE FAMILY DWELLINGS                  ,C0,3,2123,3453,2009,1,0,0.0
2,03 THREE FAMILY DWELLINGS                  ,C0,3,2260,3750,2009,1,0,0.0
2,03 THREE FAMILY DWELLINGS                  ,C0,3,2300,3675,2009,1,0,0.0
2,03 THREE FAMILY DWELLINGS                  ,C0,3,2742,2595,1940,1,0,0.0
2,05 TAX CLASS 1 VACANT LAND                 ,V0,1,2500,0,1920,1,0,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1931,2,108000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1931,2,251000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1931,2,108000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1931,2,110000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1931,2,111540,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1931,2,32500,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1931,2,250000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1931,2,245000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1931,2,125000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1930,2,70000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1930,2,90000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1930,2,80000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1930,2,50000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1930,2,100000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1930,2,110000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1930,2,100000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1930,2,100000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1952,2,182000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1952,2,184000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1952,2,85000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1952,2,115000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1952,2,85000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1952,2,120000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1952,2,186000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1952,2,190000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1952,2,190000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1951,2,129000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1951,2,117000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1951,2,145000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1951,2,130000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1938,2,160000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1938,2,117000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1938,2,118000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1938,2,175000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1936,2,117000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1936,2,212000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1941,2,84000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1930,2,88000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1930,2,55000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1930,2,44683,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1930,2,61000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1930,2,122000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1930,2,70000,0.0
2,13 CONDOS - ELEVATOR APARTMENTS            ,R4,1,0,0,1963,2,250000,0.0
2,13 CONDOS - ELEVATOR APARTMENTS            ,R4,1,0,0,1963,2,285000,0.0
2,13 CONDOS - ELEVATOR APARTMENTS            ,R4,1,0,0,1963,2,272000,0.0
2,13 CONDOS - ELEVATOR APARTMENTS            ,R4,1,0,0,1963,2,145000,0.0
2,13 CONDOS - ELEVATOR APARTMENTS            ,R4,1,0,0,1963,2,146000,0.0
2,27 FACTORIES                               ,F9,2,5000,4750,1952,4,0,0.0
2,29 COMMERCIAL GARAGES                      ,G9,1,2525,4410,1958,4,0,0.0
2,01 ONE FAMILY DWELLINGS                    ,A2,1,4918,1935,1935,1,1130000,1.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,2738,2338,1975,1,985000,1.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,5000,1470,1925,1,835000,1.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2500,1710,1930,1,0,0.0
2,01 ONE FAMILY DWELLINGS                    ,A2,1,4914,1286,1950,1,170000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,4548,2310,1930,1,588000,1.0
2,01 ONE FAMILY DWELLINGS                    ,A2,1,5428,1240,1920,1,0,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,3682,1380,1960,1,735000,1.0
2,01 ONE FAMILY DWELLINGS                    ,A9,1,4632,1380,1960,1,738000,1.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2500,1728,1925,1,816000,1.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2500,1280,1915,1,665000,1.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2500,1368,1930,1,733950,1.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2500,1379,1930,1,876000,1.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2500,2220,1930,1,0,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,4622,1368,1920,1,850000,1.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,3135,3308,1940,1,0,0.0
2,01 ONE FAMILY DWELLINGS                    ,A9,1,2375,1470,1940,1,0,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,4025,2005,1940,1,0,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,1750,1520,1930,1,695000,1.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,2625,1266,2004,1,765000,1.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2879,1240,1940,1,602000,1.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,4750,2374,1935,1,915000,1.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2375,1512,1935,1,0,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2375,1672,1935,1,685000,1.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2375,2099,1935,1,0,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,1750,1800,1930,1,720000,1.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,2202,2014,1980,1,505000,1.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,3336,1944,2016,1,784052,1.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,3336,1944,2016,1,0,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,3337,2260,2016,1,790000,1.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,3337,2260,2016,1,0,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,5525,1850,1930,1,962000,1.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,5548,1344,1930,1,525000,1.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,5508,3780,1987,1,1625000,1.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,4395,4158,1965,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,5000,2068,1920,1,1190000,1.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,1881,2983,1965,1,775000,1.0
2,02 TWO FAMILY DWELLINGS                    ,S2,3,2100,2528,1930,1,550000,1.0
2,02 TWO FAMILY DWELLINGS                    ,B2,2,2850,2000,1960,1,580000,1.0
2,02 TWO FAMILY DWELLINGS                    ,B3,2,2625,962,1940,1,10,0.0
2,02 TWO FAMILY DWELLINGS                    ,B3,2,3190,1400,1940,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2500,1887,1960,1,745000,1.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,4750,3961,1986,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,4750,3961,1986,1,835000,1.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2375,2056,1930,1,745000,1.0
2,02 TWO FAMILY DWELLINGS                    ,B3,2,3341,2876,1925,1,0,0.0
2,02 TWO FAMILY DWELLINGS                    ,B1,2,2850,2364,1930,1,0,0.0
2,03 THREE FAMILY DWELLINGS                  ,C0,3,1400,3100,1976,1,0,0.0
2,03 THREE FAMILY DWELLINGS                  ,C0,3,5476,3696,1960,1,900000,1.0
2,03 THREE FAMILY DWELLINGS                  ,C0,3,2684,2513,1930,1,0,0.0
2,03 THREE FAMILY DWELLINGS                  ,C0,3,3555,3954,1920,1,0,0.0
2,03 THREE FAMILY DWELLINGS                  ,C0,3,2415,2096,1930,1,740000,1.0
2,09 COOPS - WALKUP APARTMENTS               ,C6,0,0,0,1948,2,285000,0.0
2,09 COOPS - WALKUP APARTMENTS               ,C6,0,0,0,1948,2,170000,0.0
2,09 COOPS - WALKUP APARTMENTS               ,C6,0,0,0,1926,2,439000,0.0
2,09 COOPS - WALKUP APARTMENTS               ,C6,0,0,0,1926,2,0,0.0
2,09 COOPS - WALKUP APARTMENTS               ,C6,0,0,0,1926,2,330000,0.0
2,09 COOPS - WALKUP APARTMENTS               ,C6,0,0,0,1951,2,0,0.0
2,09 COOPS - WALKUP APARTMENTS               ,C6,0,0,0,1951,2,500000,1.0
2,09 COOPS - WALKUP APARTMENTS               ,C6,0,0,0,1951,2,580000,1.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1958,2,335000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1958,2,180000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1958,2,280000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1958,2,167500,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1958,2,520000,1.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1958,2,398000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1969,2,200000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1969,2,376724,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1969,2,285000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1969,2,336000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1969,2,250000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1967,2,270000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1967,2,126000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1967,2,374788,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1967,2,365687,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1967,2,480000,1.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1967,2,553087,1.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1967,2,695000,1.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1967,2,665236,1.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1967,2,290000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1967,2,170000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1967,2,301544,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1967,2,590000,1.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1967,2,136000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1967,2,665000,1.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1967,2,607275,1.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1967,2,835969,1.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1967,2,592090,1.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1967,2,240000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1967,2,592029,1.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1967,2,660000,1.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1967,2,350000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1966,2,310000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1966,2,130000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1966,2,175000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1966,2,180000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1966,2,250000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1966,2,190000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1966,2,300000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1966,2,430000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1966,2,376400,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1966,2,175000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1966,2,310000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1966,2,185000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1966,2,160000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1966,2,265000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1966,2,185000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1953,2,153000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1953,2,75750,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1953,2,184125,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1953,2,83250,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1960,2,160000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1960,2,115000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1960,2,200000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1960,2,270000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1960,2,355000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1962,2,165000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1962,2,340000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1962,2,25000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1962,2,172500,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1961,2,337000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1961,2,265000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1964,2,90000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1964,2,360000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1964,2,220000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1964,2,175000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1964,2,350000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1958,2,249000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1958,2,221000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1953,2,280000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1953,2,287500,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1953,2,355000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1941,2,165000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1941,2,230000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1941,2,110000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1941,2,315000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1966,2,85000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1953,2,225000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1953,2,580000,1.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1953,2,612500,1.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1953,2,285000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1953,2,465000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1953,2,450000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1953,2,695000,1.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1953,2,258750,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1949,2,300000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1949,2,244000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1949,2,150000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1949,2,230000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1949,2,232000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1949,2,225000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1949,2,235000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1949,2,150000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1961,2,205000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1961,2,140000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1961,2,340000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1964,2,285000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1964,2,345000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1964,2,165000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1964,2,250000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1964,2,435000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1964,2,160000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1959,2,120000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1959,2,439000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1959,2,200000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1959,2,177000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1959,2,202000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1959,2,205000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1962,2,406000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1962,2,475000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1962,2,150000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1962,2,320000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1962,2,410000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1962,2,305000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1962,2,235000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1962,2,810000,1.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1955,2,495000,1.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1955,2,525000,1.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1955,2,537500,1.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1955,2,600000,1.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1955,2,293000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1955,2,402000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1955,2,20000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1955,2,350000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1955,2,525000,1.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1955,2,550000,1.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1958,2,350000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1958,2,231000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1958,2,292500,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1958,2,195000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1954,2,299000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1953,2,390000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1953,2,400000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1970,2,235000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1970,2,175000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1970,2,165000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1934,2,215000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1934,2,105000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1934,2,285000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1934,2,213500,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1953,2,250000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1953,2,365000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1941,2,145000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1939,2,350000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1939,2,350000,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1939,2,401600,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1939,2,304200,0.0
2,10 COOPS - ELEVATOR APARTMENTS             ,D4,0,0,0,1939,2,192000,0.0
